河北联通组网,#genre#
生态环境,http://121.29.84.164:5000/rtp/239.253.93.245:6423
家庭理财,http://121.29.84.164:5000/rtp/239.253.93.246:6424
财富天下,http://121.29.84.164:5000/rtp/239.253.93.247:6425
中华美食高清,http://121.29.84.164:5000/rtp/239.253.93.248:6426
电视指南高清,http://121.29.84.164:5000/rtp/239.253.93.249:6427
第一剧场高清,http://121.29.84.164:5000/rtp/239.253.93.138:6428
风云剧场高清,http://121.29.84.164:5000/rtp/239.253.93.251:6429
怀旧剧场高清,http://121.29.84.164:5000/rtp/239.253.93.252:6430
风云音乐高清,http://121.29.84.164:5000/rtp/239.253.93.253:6431
风云足球高清,http://121.29.84.164:5000/rtp/239.253.93.254:6432
高尔夫网球高清,http://121.29.84.164:5000/rtp/239.253.93.122:6465
武术世界高清,http://121.29.84.164:5000/rtp/239.253.93.46:6434
兵器科技高清,http://121.29.84.164:5000/rtp/239.253.93.47:6435
世界地理高清,http://121.29.84.164:5000/rtp/239.253.92.131:6113
文物宝库高清,http://121.29.84.164:5000/rtp/239.253.93.180:6437
女性时尚高清,http://121.29.84.164:5000/rtp/239.253.92.144:6114
文化精品高清,http://121.29.84.164:5000/rtp/239.253.93.175:6439
早期教育高清,http://121.29.84.164:5000/rtp/239.253.93.164:6440
梨园高清,http://121.29.84.164:5000/rtp/239.253.93.133:6441
CCTV-4K,http://121.29.84.164:5000/rtp/239.253.93.134:6631
CCTV4中文国际欧洲,http://121.29.84.164:5000/rtp/239.253.93.192:6370
CCTV4中文国际美洲,http://121.29.84.164:5000/rtp/239.253.93.193:6371
CGTN 英文记录,http://121.29.84.164:5000/rtp/239.253.93.195:6373
CGTN 西班牙语,http://121.29.84.164:5000/rtp/239.253.93.196:6374
CGTN 法语,http://121.29.84.164:5000/rtp/239.253.93.197:6375
CGTN 阿拉伯语,http://121.29.84.164:5000/rtp/239.253.93.198:6376
CGTN 俄语,http://121.29.84.164:5000/rtp/239.253.93.199:6377
慢直播1,http://121.29.84.164:5000/rtp/239.253.94.1:6600
慢直播2,http://121.29.84.164:5000/rtp/239.253.94.2:6601
慢直播3,http://121.29.84.164:5000/rtp/239.253.94.3:6602
慢直播4,http://121.29.84.164:5000/rtp/239.253.94.4:6603
慢直播5,http://121.29.84.164:5000/rtp/239.253.94.5:6604
慢直播6,http://121.29.84.164:5000/rtp/239.253.94.6:6605
慢直播7,http://121.29.84.164:5000/rtp/239.253.94.7:6606
慢直播8,http://121.29.84.164:5000/rtp/239.253.94.8:6607
